"URL","agent-photo src","agent-name","agent-pos"
"https://premierestateproperties.com/agents/ezio-arcuri/","https://premierestateproperties.com/wp-content/uploads/2023/04/ezio.png","Ezio  Arcuri","Estate Agent"
"https://premierestateproperties.com/agents/bill-bathurst/","https://premierestateproperties.com/wp-content/uploads/2023/04/bill.png","Bill  Bathurst","Broker Associate"
"https://premierestateproperties.com/agents/janine-bennardo/","https://premierestateproperties.com/wp-content/uploads/2024/01/janine.png","Janine Bennardo","Buyers' Estate Agent"
"https://premierestateproperties.com/agents/christopher-bode/","https://premierestateproperties.com/wp-content/uploads/2023/04/Christopher-Bode.png","Christopher Bode","Broker Associate"
"https://premierestateproperties.com/agents/margit-brandt/","https://premierestateproperties.com/wp-content/uploads/2023/04/Margit-Brandt.png","Margit Brandt","Estate Agent"
"https://premierestateproperties.com/agents/sallie-brooke/","https://premierestateproperties.com/wp-content/uploads/2023/12/Sallie-Brooke.png","Sallie Brooke","Broker Associate"
"https://premierestateproperties.com/agents/kay-brown/","https://premierestateproperties.com/wp-content/uploads/2023/04/KayBrown.png","Kay Brown","Broker Associate"
"https://premierestateproperties.com/agents/jilly-cammisa/","https://premierestateproperties.com/wp-content/uploads/2023/04/Jilly-Cammisa.png","Jilly Cammisa","Estate Agent"
"https://premierestateproperties.com/agents/rosalind-clarke/","https://premierestateproperties.com/wp-content/uploads/2023/04/Rosalind-Clarke.png","Rosalind Clarke","Broker Associate"
"https://premierestateproperties.com/agents/david-cohen/","https://premierestateproperties.com/wp-content/uploads/2023/04/David-Cohen.png","David Cohen","Broker Associate"
"https://premierestateproperties.com/agents/julie-coppersmith/","https://premierestateproperties.com/wp-content/uploads/2023/04/Julie-Coppersmith.png","Julie Coppersmith","Estate Agent"
"https://premierestateproperties.com/agents/cdangelojr/","https://premierestateproperties.com/wp-content/uploads/2023/04/Carmen-N-DAngelo-Jr.png","Carmen N D'Angelo, Jr.","Broker | Owner"
"https://premierestateproperties.com/agents/betty-devitt/","https://premierestateproperties.com/wp-content/uploads/2023/12/betty-devitt.png","Betty Devitt","Broker Associate"
"https://premierestateproperties.com/agents/cole-devitt/","https://premierestateproperties.com/wp-content/uploads/2023/12/Cole-Devitt-1.png","Cole Devitt","Broker Associate"
"https://premierestateproperties.com/agents/karson-dietrich/","https://premierestateproperties.com/wp-content/uploads/2023/04/Karson-Dietrich.png","Karson Dietrich","Estate Agent"
"https://premierestateproperties.com/agents/carmelo-gencarelli/","https://premierestateproperties.com/wp-content/uploads/2023/04/Carmelo-Gencarelli.png","Carmelo Gencarelli","Estate Agent"
"https://premierestateproperties.com/agents/jason-greene/","https://premierestateproperties.com/wp-content/uploads/2024/03/jason-greene.png","Jason  Greene","Estate Agent"
"https://premierestateproperties.com/agents/nicholas-d-grodzicki/","https://premierestateproperties.com/wp-content/uploads/2025/02/Nicholas.png","Nicholas D. Grodzicki","Broker Associate"
"https://premierestateproperties.com/agents/nancy-hardy/","https://premierestateproperties.com/wp-content/uploads/2023/04/Nancy-Hardy.png","Nancy Hardy","Estate Agent"
"https://premierestateproperties.com/agents/jennifer-hasozbek-garcia/","https://premierestateproperties.com/wp-content/uploads/2023/04/Jennifer-Hasozbek-Garcia.png","Jennifer Hasozbek-Garcia","Estate Agent"
"https://premierestateproperties.com/agents/ronnie-hasozbek-garcia/","https://premierestateproperties.com/wp-content/uploads/2023/04/Ronnie-Hasozbek-Garcia.png","Ronnie  Hasozbek-Garcia","Estate Agent"
"https://premierestateproperties.com/agents/lucy-hendricks/","https://premierestateproperties.com/wp-content/uploads/2023/04/Lucy-Hendricks.png","Lucy Hendricks","Broker Associate"
"https://premierestateproperties.com/agents/nina-illyria/","https://premierestateproperties.com/wp-content/uploads/2025/10/NINA-ILLRYIA.png","Nina Illyria","Estate Agent"
"https://premierestateproperties.com/agents/scot-karp/","https://premierestateproperties.com/wp-content/uploads/2023/04/Scot-Karp.png","Scot  Karp","Director Ultraluxury Condominium Division"
"https://premierestateproperties.com/agents/jonathan-knight/","https://premierestateproperties.com/wp-content/uploads/2023/04/Jonathan-Knight.png","Jonathan  Knight","Estate Agent"
"https://premierestateproperties.com/agents/william-koch/","https://premierestateproperties.com/wp-content/uploads/2023/04/William-Koch.png","William  Koch","Broker Associate"
"https://premierestateproperties.com/agents/kevin-kreutzfeld/","https://premierestateproperties.com/wp-content/uploads/2023/04/Kevin-Kreutzfeld.png","Kevin  Kreutzfeld","Estate Agent"
"https://premierestateproperties.com/agents/kim-lekas/","https://premierestateproperties.com/wp-content/uploads/2023/04/Kim-Lekas.png","Kim  Lekas","Broker Associate"
"https://premierestateproperties.com/agents/tyler-lesneski/","https://premierestateproperties.com/wp-content/uploads/2025/06/TYLER_WEBSITE_PORTRAIT-edit.png","Tyler Lesneski","Estate Agent"
"https://premierestateproperties.com/agents/angelo-liguori/","https://premierestateproperties.com/wp-content/uploads/2023/04/angelo.png","Angelo  Liguori","Estate Agent"
"https://premierestateproperties.com/agents/antonio-liguori/","https://premierestateproperties.com/wp-content/uploads/2023/04/Antonio-Liguori.png","Antonio  Liguori","Broker Associate"
"https://premierestateproperties.com/agents/gerard-liguori/","https://premierestateproperties.com/wp-content/uploads/2023/04/Gerard-Liguori.png","Gerard P. Liguori","Broker | Owner"
"https://premierestateproperties.com/agents/joseph-g-liguori/","https://premierestateproperties.com/wp-content/uploads/2023/04/Joseph-Liguori.png","Joseph G. Liguori","Broker | Owner"
"https://premierestateproperties.com/agents/maria-liguori/","https://premierestateproperties.com/wp-content/uploads/2023/04/maria-liguori-1.png","Maria  Liguori","Broker Associate"
"https://premierestateproperties.com/agents/pascal-liguori/","https://premierestateproperties.com/wp-content/uploads/2023/04/Pascal-Pat-Liguori.png","Pascal (Pat)  Liguori","Broker Associate"
"https://premierestateproperties.com/agents/alessandro-p-liguori/","https://premierestateproperties.com/wp-content/uploads/2024/02/agent-alesandro-liguori.png","Alessandro Liguori","Estate Agent"
"https://premierestateproperties.com/agents/gabrielle-liguori-crompton/","https://premierestateproperties.com/wp-content/uploads/2023/04/Gabrielle-Liguori-Crompton.png","Gabrielle  Liguori-Crompton","Estate Agent"
"https://premierestateproperties.com/agents/michael-loftus/","https://premierestateproperties.com/wp-content/uploads/2023/12/michael-loftus.png","Michael Loftus","Estate Agent"
"https://premierestateproperties.com/agents/jelena-lovric/","https://premierestateproperties.com/wp-content/uploads/2023/04/Jelena-Lovric.png","Jelena Lovric","Estate Agent"
"https://premierestateproperties.com/agents/judith-lukens/","https://premierestateproperties.com/wp-content/uploads/2023/04/Judith-Lukens.png","Judith  Lukens","Broker Associate"
"https://premierestateproperties.com/agents/sarah-elder-lyons/","https://premierestateproperties.com/wp-content/uploads/2025/01/Sarah-Elder.png","Sarah Elder Lyons","Estate Agent"
"https://premierestateproperties.com/agents/robert-mayer/","https://premierestateproperties.com/wp-content/uploads/2023/04/Robert-Mayer.png","Robert  Mayer","Broker Associate"
"https://premierestateproperties.com/agents/jim-mccann/","https://premierestateproperties.com/wp-content/uploads/2023/04/Jim-McCann.png","Jim  McCann","Broker Associate"
"https://premierestateproperties.com/agents/rick-moeser/","https://premierestateproperties.com/wp-content/uploads/2025/03/RICK.png","Rick Moeser","Broker Associate"
"https://premierestateproperties.com/agents/caryn-nadler/","https://premierestateproperties.com/wp-content/uploads/2023/09/Caryn-Nadler.png","Caryn  Nadler","Estate Agent"
"https://premierestateproperties.com/agents/george-nagy/","https://premierestateproperties.com/wp-content/uploads/2025/08/george-nagy-1.jpg","George Nagy","Estate Agent"
"https://premierestateproperties.com/agents/bob-niederpruem/","https://premierestateproperties.com/wp-content/uploads/2023/04/Bob-Niederpruem.png","Bob Niederpruem","Broker Associate"
"https://premierestateproperties.com/agents/colleen-nouhan/","https://premierestateproperties.com/wp-content/uploads/2023/04/Colleen-Nouhan.png","Colleen Nouhan","Broker Associate"
"https://premierestateproperties.com/agents/geri-penniman/","https://premierestateproperties.com/wp-content/uploads/2023/04/Geri-Penniman.png","Geri Penniman","Estate Agent"
"https://premierestateproperties.com/agents/michael-pierce/","https://premierestateproperties.com/wp-content/uploads/2023/04/Michael-Pierce.png","Michael Pierce","Estate Agent"
"https://premierestateproperties.com/agents/jason-pierce/","https://premierestateproperties.com/wp-content/uploads/2025/06/JasonPierce-new-pic.png","Jason Pierce","Estate Agent"
"https://premierestateproperties.com/agents/platon-polishchuk/","https://premierestateproperties.com/wp-content/uploads/2023/08/Platon-Polishchuk.png","Platon  Polishchuk","Estate Agent"
"https://premierestateproperties.com/agents/nick-pontarelli/","https://premierestateproperties.com/wp-content/uploads/2023/08/Nick-Pontarelli.png","Nick  Pontarelli","Condominium Specialist"
"https://premierestateproperties.com/agents/marta-proechel/","https://premierestateproperties.com/wp-content/uploads/2023/04/Marta-Proechel.png","Marta Proechel","Estate Agent"
"https://premierestateproperties.com/agents/allison-ritter/","https://premierestateproperties.com/wp-content/uploads/2023/04/Allison-Ritter.png","Allison Ritter","Broker Associate"
"https://premierestateproperties.com/agents/hill-scaff/","https://premierestateproperties.com/wp-content/uploads/2023/04/Hill-Scaff-1.png","Hill Scaff","Broker Associate"
"https://premierestateproperties.com/agents/jane-scherwiering/","https://premierestateproperties.com/wp-content/uploads/2023/04/Jane-Scherwiering-1.png","Jane Schwiering","Broker Associate"
"https://premierestateproperties.com/agents/louis-sebille/","https://premierestateproperties.com/wp-content/uploads/2023/04/Louis-Sebille.png","Louis Sebille","Estate Agent"
"https://premierestateproperties.com/agents/terressa-stark/","https://premierestateproperties.com/wp-content/uploads/2023/04/Terressa-Stark.png","Terressa Stark","Estate Agent"
"https://premierestateproperties.com/agents/melissa-talley/","https://premierestateproperties.com/wp-content/uploads/2023/04/Melissa-Talley.png","Melissa Talley","Estate Agent"
"https://premierestateproperties.com/agents/joy-triglia/","https://premierestateproperties.com/wp-content/uploads/2023/04/Joy-Triglia.png","Joy Triglia","Broker Associate"
"https://premierestateproperties.com/agents/michael-wells/","https://premierestateproperties.com/wp-content/uploads/2023/04/Michael-Wells.png","Michael Wells","Condominium Specialist"
"https://premierestateproperties.com/agents/gary-wells/","https://premierestateproperties.com/wp-content/uploads/2023/04/Gary-Wells.png","Gary Wells","Estate Agent"